,"CLSS ID","SIS ID","Term","Term Code","Department Code","Subject Code","Catalog Number","Course","Section #","Course Title","Long Title","Section Type","Title/Topic","Meeting Pattern","Meetings","Instructor","Room","Status","Session","Campus","Inst. Method","Integ. Partner","Schedule Print","Consent","Credit Hrs Min","Credit Hrs","Grade Mode","Attributes","Course Attributes","Room Attributes","Enrollment","Maximum Enrollment","Prior Enrollment","Projected Enrollment","Wait Cap","Wait Total","Rm Cap Request","Cross-listings","Cross-list Enrollment","Cross-list Maximum","Cross-list Projected","Cross-list Wait Cap","Cross-list Wait Total","Cross-list Rm Cap Request","Link To","Comments","Notes#1","Notes#2"
"BIOI 1000 - INTRODUCTION TO BIOINFORMATICS"
,"249","14564","Fall 2023","1238","UNO-BIOI","BIOI","1000","BIOI 1000","001","INTRODUCTION TO BIOINFORMATICS","","Lecture","","TR 1:30pm-2:45pm","TR 1:30pm-2:45pm","Bastola, Dhundy (75153614) [Primary Instructor, Post, Print]","Peter Kiewit Institute 161","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials; University General Education: Natural/Physical Science General Education course","University General Education: Natural/Physical Science General Education course","","26","30","","","99","0","30","","","","","","","","","","",""
,"250","16276","Fall 2023","1238","UNO-BIOI","BIOI","1000","BIOI 1000","099","INTRODUCTION TO BIOINFORMATICS","","Lecture","","Does Not Meet","Does Not Meet","Staff [Primary Instructor, Post, Print]","No Room Assigned","Cancelled Section","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","Honors Program: Honors Program Students Only; Open Nebraska: No Cost Materials; University General Education: Natural/Physical Science General Education course","University General Education: Natural/Physical Science General Education course","","0","0","","","0","0","25","","","","","","","","","","",""
,"251","14565","Fall 2023","1238","UNO-BIOI","BIOI","1000","BIOI 1000","850","INTRODUCTION TO BIOINFORMATICS","","Lecture","","Does Not Meet","Does Not Meet","Clarke, Martina (55703786) [Primary Instructor, Post, Print]","Totally Online","Active","Regular Academic Session","UNO-IS","Totally Online","","Yes","No Special Consent Required","3","3","Graded","Open Nebraska: No Cost Materials; Online: Totally Online; University General Education: Natural/Physical Science General Education course","University General Education: Natural/Physical Science General Education course","","29","30","","","99","0","30","","","","","","","","","","",""
"BIOI 3000 - APPLIED BIOINFORMATICS"
,"252","14566","Fall 2023","1238","UNO-BIOI","BIOI","3000","BIOI 3000","001","APPLIED BIOINFORMATICS","","Lecture","","M 6pm-8:40pm","M 6pm-8:40pm","Bastola, Dhundy (75153614) [Primary Instructor, Post, Print]","Peter Kiewit Institute 276","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","3","3","Graded","","","","7","20","","","99","0","20","","","","","","","","","","",""
"BIOI 4500 - INDEPENDENT STUDY"
,"3511","14567","Fall 2023","1238","UNO-BIOI","BIOI","4500","BIOI 4500","001","INDEPENDENT STUDY","","Independent Study","","Does Not Meet","Does Not Meet","Cooper, Kate (35979329) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO-IS","In Person","","Yes","No Special Consent Required","1","3","Graded","Open Nebraska: No Cost Materials","","","0","10","","","0","0","10","","","","","","","","","","",""
"BIOI 4510 - BIOINFORMATICS INTERNSHIP"
,"3509","14568","Fall 2023","1238","UNO-BIOI","BIOI","4510","BIOI 4510","001","BIOINFORMATICS INTERNSHIP","","Internship","","Does Not Meet","Does Not Meet","Cooper, Kate (35979329) [Primary Instructor, Post, Print]","To Be Announced","Active","Regular Academic Session","UNO-IS","In Person","","Yes","Department Consent Required","1","3","Graded","Open Nebraska: No Cost Materials","","","0","0","","","0","0","10","","","","","","","","","","",""
